"","x"
"1",0.0415657860251271
"2",-0.0994469287868117
"3",1.0245928496208
"4",-1.12867180988853
"5",1.92857369718867
"6",-0.108498614881794
"7",0.500799405179612
"8",1.11312520234659
"9",-0.110848351658007
"10",-1.00606688088948
"11",0.966117314539503
"12",-1.29891727588109
"13",1.61170636337298
"14",2.0765929459583
"15",0.00184886674505494
"16",0.285797357292967
"17",2.43402006852313
"18",-0.369677182889971
"19",2.34688646706107
"20",-1.07041156336529
"21",-0.367638807244289
"22",-0.602944865601404
"23",0.48496568960438
"24",-0.632128716003866
"25",0.635009417990165
"26",-0.51732995350818
"27",2.05096517151262
"28",0.868933351607348
"29",-1.09465351544681
"30",0.619325579047739
"31",-0.0462764682207227
"32",-0.0715990827079499
"33",0.676098199888577
"34",-1.26803018181524
"35",0.526434428382815
"36",2.43731831414543
"37",1.71677504315758
"38",-0.490424370675081
"39",-0.794964045235771
"40",-0.916504616853441
"41",-0.688047796028566
"42",0.845756579566459
"43",0.0393291135165165
"44",0.328649223543518
"45",0.117765368873053
"46",-1.03104486440432
"47",0.571522728667987
"48",-1.28110724726574
"49",-0.939922521628263
"50",0.579795543944626
"51",-1.02989706531094
"52",0.175129298489187
"53",0.234022019212225
"54",-0.75965607302271
"55",-0.0635794272123705
"56",-2.36822791022333
"57",0.072162745296052
"58",0.25725518743906
"59",1.31307300379179
"60",0.269966581238441
"61",-1.07344475660583
"62",-0.0996436598324264
"63",-0.505057670484603
"64",0.836951240852834
"65",-0.17467640509294
"66",0.916051209717245
"67",0.325098677953458
"68",0.179597903317968
"69",-0.824306457709419
"70",-0.535500758114374
"71",0.661767070694823
"72",-0.239974059094685
"73",-0.770640688889461
"74",-0.989261965021084
"75",-1.55913855386553
"76",0.538447188932045
"77",0.108822235044758
"78",-0.329391870728566
"79",-0.894798005405609
"80",0.158707675631425
"81",1.47669452881237
"82",-0.605676610147802
"83",0.710971937711209
"84",0.808674681668037
"85",-2.56076998072407
"86",1.14888472623579
"87",-0.148438593956706
"88",-0.438424412975189
"89",0.280054776117951
"90",-1.09072054646369
"91",-1.9677680896979
"92",2.11728715015441
"93",-0.11841148751602
"94",-1.34399023359601
"95",-0.375231899219306
"96",0.707827322583249
"97",-1.93068198372711
"98",0.373156932638802
"99",0.585785877442649
"100",-0.923402042703054
